line_name,description,total_boarding,total_hour_cap,tm2_mode,line_mode,headway,fare_system
10_573_198_EV_d0_s493,Hollis,16.49218225479126,135.0,12,b,20.0,18
10_573_201_EV_d0_s490,Shellmound/Powell,79.36846967041492,180.0,12,b,15.0,18
12_247_481_EV_d0_s1454,1,0.08883598446846008,21.0,49,b,180.0,34
12_247_481_EV_d1_s1425,1,0,21.0,49,b,180.0,34
12_247_482_EV_d0_s1446,2,0.17767196893692017,42.0,49,b,90.0,34
12_247_482_EV_d1_s1420,2,0,42.0,49,b,90.0,34
12_247_485_EV_d1_s1429,5,0.13762295246124268,21.0,49,b,180.0,34
12_247_486_EV_d1_s1451,6,0,21.0,49,b,180.0,34
12_247_487_EV_d0_s1453,7,0,126.0,49,b,30.0,34
12_247_487_EV_d1_s1418,7,0,42.0,49,b,90.0,34
12_247_490_EV_d0_s1457,78,0,84.0,91,x,45.0,35
12_247_490_EV_d1_s1426,78,7.5144500732421875,63.0,91,x,60.0,35
12_247_491_EV_d0_s1421,80,60.84873580932617,151.2,91,x,25.0,35
12_247_491_EV_d1_s1431,80,97.8814468383789,105.0,91,x,36.0,35
12_247_492_EV_d0_s1449,85,10.284560203552246,1260.0,49,b,3.0,35
12_247_492_EV_d1_s1450,85,9.096429526805878,1260.0,49,b,3.0,35
12_247_493_EV_d1_s1430,8,0,21.0,49,b,180.0,34
12_247_494_EV_d1_s1447,20,0,21.0,49,b,180.0,34
15__163_EV_d1_s423,Rossmoor/Shadelands,0,21.0,42,b,180.0,15
15__164_EV_d0_s424,BART WALNUT CREEK/JOHN MUIR MED CTR,0,21.0,42,b,180.0,15
15__164_EV_d1_s425,BART WALNUT CREEK/JOHN MUIR MED CTR,0,21.0,42,b,180.0,15
15__166_EV_d0_s428,DVC/BART Concord,1.2166666984558105,126.0,42,b,30.0,15
15__166_EV_d1_s429,DVC/BART Concord,32.476688385009766,126.0,42,b,30.0,15
15__167_EV_d0_s430,BART Walnut Creek/San Ramon,2.3433268070220947,84.0,42,b,45.0,15
15__167_EV_d1_s431,BART Walnut Creek/San Ramon,5.72117292881012,105.0,42,b,36.0,15
15__169_EV_d0_s434,BART North Concord/Martinez,6.023809909820557,21.0,42,b,180.0,15
